"id","session_id","movement_id","exercise_role","order_in_session","superset_group","target_sets","target_rep_range_min","target_rep_range_max","target_rpe","target_rir","target_duration_seconds","default_rest_seconds","is_complex_lift","substitution_allowed","notes","user_id","stimulus","fatigue","circuit_id"
3102,8509,11,main,4,,4,6,10,7,,,120,false,true,,1,,,
3103,8509,53,accessory,5,,3,10,15,7,,,60,false,true,,1,,,
3104,8509,52,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3105,8509,518,cooldown,7,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3106,8511,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3107,8511,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3108,8511,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3109,8511,14,main,4,,4,6,10,7,,,120,false,true,,1,,,
3110,8511,23,main,5,,4,6,10,7,,,120,false,true,,1,,,
3111,8511,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3112,8511,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3113,8511,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3114,8499,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3115,8499,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3116,8499,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3117,8499,14,main,4,,4,6,10,7,,,120,false,true,,1,,,
3118,8499,23,main,5,,4,6,10,7,,,120,false,true,,1,,,
3119,8499,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3120,8499,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3121,8499,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3122,8501,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3123,8501,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3124,8501,376,main,3,,4,6,10,7,,,120,false,true,,1,,,
3125,8501,11,main,4,,4,6,10,7,,,120,false,true,,1,,,
3126,8501,53,accessory,5,,3,10,15,7,,,60,false,true,,1,,,
3127,8501,52,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3128,8501,518,cooldown,7,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3129,8502,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3130,8502,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3131,8502,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3132,8502,544,main,4,,4,6,10,7,,,120,false,true,,1,,,
3133,8502,28,main,5,,4,6,10,7,,,120,false,true,,1,,,
3134,8502,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3135,8502,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3136,8502,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3137,8504,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3138,8504,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3139,8504,11,main,3,,4,6,10,7,,,120,false,true,,1,,,
3140,8504,82,main,4,,4,6,10,7,,,120,false,true,,1,,,
3141,8504,52,accessory,5,,3,10,15,7,,,60,false,true,,1,,,
3142,8504,53,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3143,8504,518,cooldown,7,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3144,8506,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3145,8506,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3146,8506,16,warmup,3,,2,10,10,,,,,false,true,Warmup sets,1,,,
3147,8506,25,warmup,4,,2,8,8,,,,,false,true,Light warmup,1,,,
3148,8506,82,main,5,,4,6,10,7,,,120,false,true,,1,,,
3149,8506,14,main,6,,4,6,10,7,,,120,false,true,,1,,,
3150,8506,23,main,7,,4,6,10,7,,,120,false,true,,1,,,
3151,8506,53,accessory,8,,3,10,15,7,,,60,false,true,,1,,,
3152,8506,49,accessory,9,,3,10,15,7,,,60,false,true,,1,,,
3153,8506,518,cooldown,10,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3154,8508,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3155,8508,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3156,8508,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3157,8508,544,main,4,,4,6,10,7,,,120,false,true,,1,,,
3158,8508,28,main,5,,4,6,10,7,,,120,false,true,,1,,,
3159,8508,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3160,8508,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3161,8508,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3162,8513,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3163,8513,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3164,8513,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3165,8513,14,main,4,,4,6,10,7,,,120,false,true,,1,,,
3166,8513,23,main,5,,4,6,10,7,,,120,false,true,,1,,,
3167,8513,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3168,8513,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3169,8513,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3170,8515,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3171,8515,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3172,8515,376,main,3,,4,6,10,7,,,120,false,true,,1,,,
3173,8515,11,main,4,,4,6,10,7,,,120,false,true,,1,,,
3174,8515,53,accessory,5,,3,10,15,7,,,60,false,true,,1,,,
3175,8515,52,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3176,8515,518,cooldown,7,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3177,8516,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3178,8516,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3179,8516,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3180,8516,544,main,4,,4,6,10,7,,,120,false,true,,1,,,
3181,8516,28,main,5,,4,6,10,7,,,120,false,true,,1,,,
3182,8516,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3183,8516,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3184,8516,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3185,8518,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3186,8518,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3187,8518,11,main,3,,4,6,10,7,,,120,false,true,,1,,,
3188,8518,82,main,4,,4,6,10,7,,,120,false,true,,1,,,
3189,8518,52,accessory,5,,3,10,15,7,,,60,false,true,,1,,,
3190,8518,53,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3191,8518,518,cooldown,7,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3192,8520,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3193,8520,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3194,8520,16,warmup,3,,2,10,10,,,,,false,true,Warmup sets,1,,,
3195,8520,25,warmup,4,,2,8,8,,,,,false,true,Light warmup,1,,,
3196,8520,82,main,5,,4,6,10,7,,,120,false,true,,1,,,
3197,8520,14,main,6,,4,6,10,7,,,120,false,true,,1,,,
3198,8520,23,main,7,,4,6,10,7,,,120,false,true,,1,,,
3199,8520,53,accessory,8,,3,10,15,7,,,60,false,true,,1,,,
3200,8520,49,accessory,9,,3,10,15,7,,,60,false,true,,1,,,
3201,8520,518,cooldown,10,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3202,8522,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3203,8522,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3204,8522,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3205,8522,544,main,4,,4,6,10,7,,,120,false,true,,1,,,
3206,8522,28,main,5,,4,6,10,7,,,120,false,true,,1,,,
3207,8522,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3208,8522,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3209,8522,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
