"id","movement_id","muscle_id","role","magnitude"
887,50,45,SECONDARY,1
888,156,40,SECONDARY,1
889,158,42,SECONDARY,1
890,158,41,SECONDARY,1
891,158,40,SECONDARY,1
892,159,49,SECONDARY,1
893,159,57,SECONDARY,1
894,160,40,SECONDARY,1
895,161,49,SECONDARY,1
896,161,44,SECONDARY,1
897,165,42,SECONDARY,1
898,165,41,SECONDARY,1
899,166,41,SECONDARY,1
900,167,56,SECONDARY,1
901,167,42,SECONDARY,1
902,167,41,SECONDARY,1
903,167,40,SECONDARY,1
904,168,41,SECONDARY,1
905,168,40,SECONDARY,1
906,172,57,SECONDARY,1
907,173,57,SECONDARY,1
908,174,57,SECONDARY,1
909,175,43,SECONDARY,1
910,175,41,SECONDARY,1
911,175,40,SECONDARY,1
912,175,54,SECONDARY,1
913,175,39,SECONDARY,1
914,175,45,SECONDARY,1
915,54,39,SECONDARY,1
916,55,55,SECONDARY,1
917,179,52,SECONDARY,1
918,179,57,SECONDARY,1
919,179,50,SECONDARY,1
920,181,52,SECONDARY,1
921,181,49,SECONDARY,1
922,181,42,SECONDARY,1
923,181,51,SECONDARY,1
924,181,41,SECONDARY,1
925,181,40,SECONDARY,1
926,181,57,SECONDARY,1
927,181,39,SECONDARY,1
928,181,45,SECONDARY,1
929,182,40,SECONDARY,1
930,182,57,SECONDARY,1
931,183,41,SECONDARY,1
932,183,40,SECONDARY,1
933,183,57,SECONDARY,1
934,187,56,SECONDARY,1
935,187,54,SECONDARY,1
936,188,40,SECONDARY,1
937,188,39,SECONDARY,1
938,184,52,SECONDARY,1
939,185,39,SECONDARY,1
940,185,50,SECONDARY,1
941,186,41,SECONDARY,1
942,186,40,SECONDARY,1
943,186,57,SECONDARY,1
944,186,50,SECONDARY,1
945,56,52,SECONDARY,1
946,190,52,SECONDARY,1
947,192,41,SECONDARY,1
948,192,54,SECONDARY,1
949,192,57,SECONDARY,1
950,193,52,SECONDARY,1
951,193,42,SECONDARY,1
952,193,43,SECONDARY,1
953,193,40,SECONDARY,1
954,193,39,SECONDARY,1
955,193,50,SECONDARY,1
956,57,53,SECONDARY,1
957,195,51,SECONDARY,1
958,196,42,SECONDARY,1
959,196,39,SECONDARY,1
960,197,42,SECONDARY,1
961,197,41,SECONDARY,1
962,197,39,SECONDARY,1
963,224,40,SECONDARY,1
964,198,52,SECONDARY,1
965,198,43,SECONDARY,1
966,198,41,SECONDARY,1
967,198,40,SECONDARY,1
968,198,54,SECONDARY,1
969,198,57,SECONDARY,1
970,198,39,SECONDARY,1
971,198,45,SECONDARY,1
972,198,50,SECONDARY,1
973,199,49,SECONDARY,1
974,199,51,SECONDARY,1
975,199,57,SECONDARY,1
976,201,57,SECONDARY,1
977,58,46,SECONDARY,1
978,66,42,SECONDARY,1
979,364,42,SECONDARY,1
980,364,41,SECONDARY,1
981,364,39,SECONDARY,1
982,47,51,SECONDARY,1
983,211,49,SECONDARY,1
984,211,44,SECONDARY,1
985,213,43,SECONDARY,1
986,213,40,SECONDARY,1
987,213,57,SECONDARY,1
988,214,42,SECONDARY,1
989,214,39,SECONDARY,1
993,30,45,SECONDARY,1
994,31,39,SECONDARY,1
995,31,41,SECONDARY,1
996,31,40,SECONDARY,1
997,31,45,SECONDARY,1
998,32,39,SECONDARY,1
999,32,41,SECONDARY,1
1000,32,45,SECONDARY,1
1001,32,47,SECONDARY,1
1002,33,39,SECONDARY,1
1003,33,41,SECONDARY,1
1004,33,47,SECONDARY,1
1005,33,50,SECONDARY,1
1006,331,54,SECONDARY,1
1007,230,43,SECONDARY,1
1008,230,51,SECONDARY,1
1009,230,44,SECONDARY,1
1010,230,57,SECONDARY,1
1011,234,41,SECONDARY,1
1014,238,43,SECONDARY,1
1015,238,57,SECONDARY,1
1016,239,57,SECONDARY,1
1017,239,50,SECONDARY,1
1018,241,42,SECONDARY,1
1019,241,39,SECONDARY,1
1020,241,50,SECONDARY,1
1021,243,57,SECONDARY,1
1022,243,50,SECONDARY,1
1023,244,57,SECONDARY,1
1024,246,42,SECONDARY,1
1025,246,40,SECONDARY,1
1026,247,51,SECONDARY,1
1027,247,45,SECONDARY,1
1028,248,51,SECONDARY,1
1029,248,41,SECONDARY,1
1030,248,40,SECONDARY,1
1031,248,45,SECONDARY,1
1032,250,43,SECONDARY,1
1033,250,50,SECONDARY,1
1034,251,51,SECONDARY,1
1035,249,42,SECONDARY,1
1036,249,41,SECONDARY,1
1037,249,40,SECONDARY,1
1038,255,49,SECONDARY,1
1039,255,44,SECONDARY,1
1040,255,57,SECONDARY,1
1041,256,42,SECONDARY,1
1042,256,41,SECONDARY,1
1043,258,51,SECONDARY,1
1044,260,43,SECONDARY,1
1045,260,57,SECONDARY,1
1046,260,52,SECONDARY,1
1047,261,49,SECONDARY,1
1048,261,51,SECONDARY,1
1049,261,57,SECONDARY,1
1050,265,54,SECONDARY,1
1051,266,52,SECONDARY,1
1052,266,49,SECONDARY,1
1053,266,42,SECONDARY,1
1054,266,51,SECONDARY,1
1055,266,41,SECONDARY,1
1056,266,40,SECONDARY,1
1057,266,54,SECONDARY,1
1058,266,57,SECONDARY,1
1059,266,45,SECONDARY,1
1060,279,40,SECONDARY,1
1061,273,49,SECONDARY,1
1062,273,44,SECONDARY,1
1063,273,45,SECONDARY,1
1064,274,49,SECONDARY,1
1065,274,51,SECONDARY,1
1066,274,57,SECONDARY,1
1067,276,43,SECONDARY,1
990,30,39,PRIMARY,1
1068,276,50,SECONDARY,1
1069,277,42,SECONDARY,1
1070,277,41,SECONDARY,1
1071,277,40,SECONDARY,1
1072,278,42,SECONDARY,1
1073,278,40,SECONDARY,1
1074,281,42,SECONDARY,1
1075,281,41,SECONDARY,1
1076,281,40,SECONDARY,1
1077,283,42,SECONDARY,1
1078,283,51,SECONDARY,1
1079,283,44,SECONDARY,1
1080,283,57,SECONDARY,1
1081,284,57,SECONDARY,1
1082,285,49,SECONDARY,1
1083,285,45,SECONDARY,1
1084,286,41,SECONDARY,1
1085,286,57,SECONDARY,1
1086,287,43,SECONDARY,1
1087,287,57,SECONDARY,1
1088,287,50,SECONDARY,1
1089,308,42,SECONDARY,1
1090,308,43,SECONDARY,1
1091,308,51,SECONDARY,1
1092,308,41,SECONDARY,1
1093,308,40,SECONDARY,1
1094,308,54,SECONDARY,1
1095,308,57,SECONDARY,1
1096,308,45,SECONDARY,1
1097,308,50,SECONDARY,1
1098,280,56,SECONDARY,1
1099,280,42,SECONDARY,1
1100,280,41,SECONDARY,1
1101,280,40,SECONDARY,1
1102,290,57,SECONDARY,1
1103,291,57,SECONDARY,1
1104,292,49,SECONDARY,1
1105,295,43,SECONDARY,1
1106,295,44,SECONDARY,1
1107,293,41,SECONDARY,1
1108,298,44,SECONDARY,1
1109,298,57,SECONDARY,1
1110,298,50,SECONDARY,1
1111,300,43,SECONDARY,1
1112,300,57,SECONDARY,1
1113,301,43,SECONDARY,1
1114,301,44,SECONDARY,1
1115,301,57,SECONDARY,1
1116,302,43,SECONDARY,1
1117,302,44,SECONDARY,1
1118,302,57,SECONDARY,1
1119,303,43,SECONDARY,1
1120,303,54,SECONDARY,1
1121,303,57,SECONDARY,1
1122,306,41,SECONDARY,1
1123,307,41,SECONDARY,1
1124,307,40,SECONDARY,1
1125,311,49,SECONDARY,1
1126,311,57,SECONDARY,1
1127,312,41,SECONDARY,1
1128,312,40,SECONDARY,1
1129,312,57,SECONDARY,1
1130,315,57,SECONDARY,1
1131,315,50,SECONDARY,1
1132,316,56,SECONDARY,1
1133,316,41,SECONDARY,1
1134,316,54,SECONDARY,1
1135,320,57,SECONDARY,1
1136,322,52,SECONDARY,1
1137,322,56,SECONDARY,1
1138,322,42,SECONDARY,1
1139,322,41,SECONDARY,1
1140,322,40,SECONDARY,1
1141,322,54,SECONDARY,1
1142,325,56,SECONDARY,1
1143,325,42,SECONDARY,1
1144,325,41,SECONDARY,1
1145,325,40,SECONDARY,1
1146,327,52,SECONDARY,1
1147,327,51,SECONDARY,1
1148,329,56,SECONDARY,1
1149,329,42,SECONDARY,1
1150,329,41,SECONDARY,1
1151,329,39,SECONDARY,1
1152,333,42,SECONDARY,1
1153,333,41,SECONDARY,1
1154,333,40,SECONDARY,1
1155,337,43,SECONDARY,1
1156,337,57,SECONDARY,1
1157,338,52,SECONDARY,1
1158,338,57,SECONDARY,1
1159,338,50,SECONDARY,1
1160,340,56,SECONDARY,1
1161,340,41,SECONDARY,1
1162,340,40,SECONDARY,1
1163,340,39,SECONDARY,1
1164,340,57,SECONDARY,1
1165,343,56,SECONDARY,1
1166,343,42,SECONDARY,1
1167,343,41,SECONDARY,1
1168,343,40,SECONDARY,1
1169,343,39,SECONDARY,1
1170,346,42,SECONDARY,1
1171,346,41,SECONDARY,1
1172,346,39,SECONDARY,1
1173,350,43,SECONDARY,1
1174,350,57,SECONDARY,1
1175,350,50,SECONDARY,1
1176,347,52,SECONDARY,1
1177,347,44,SECONDARY,1
1178,347,54,SECONDARY,1
1179,355,56,SECONDARY,1
1180,355,42,SECONDARY,1
1181,355,41,SECONDARY,1
1182,355,54,SECONDARY,1
1183,355,39,SECONDARY,1
1184,355,57,SECONDARY,1
1185,355,45,SECONDARY,1
1186,356,42,SECONDARY,1
1187,366,40,SECONDARY,1
1188,366,39,SECONDARY,1
1189,367,49,SECONDARY,1
1190,367,44,SECONDARY,1
1191,368,49,SECONDARY,1
1192,368,57,SECONDARY,1
1013,26,57,SECONDARY,1
681,7,41,PRIMARY,1
682,7,54,PRIMARY,0.9
1193,7,40,PRIMARY,0.85
1194,7,39,SECONDARY,0.4
683,7,44,SECONDARY,0.5
1195,1,39,PRIMARY,1
666,1,41,PRIMARY,0.95
667,1,40,PRIMARY,0.7
1196,1,54,SECONDARY,0.8
1197,1,56,SECONDARY,0.3
1198,2,39,PRIMARY,1
669,2,41,PRIMARY,0.85
670,2,52,SECONDARY,0.7
1199,2,54,SECONDARY,0.5
1200,13,43,PRIMARY,1
696,13,50,PRIMARY,0.7
695,13,47,SECONDARY,0.6
1201,26,44,PRIMARY,1
727,26,49,PRIMARY,0.7
728,26,45,SECONDARY,0.5
1202,26,46,SECONDARY,0.4
1203,27,44,PRIMARY,1
730,27,49,PRIMARY,0.9
1204,27,51,SECONDARY,0.6
731,27,45,SECONDARY,0.4
1205,22,44,PRIMARY,1
716,22,45,PRIMARY,0.9
718,22,49,PRIMARY,0.6
717,22,46,SECONDARY,0.5
1206,22,54,SECONDARY,0.7
707,18,48,PRIMARY,1
706,18,50,PRIMARY,0.7
1207,18,43,SECONDARY,0.3
991,30,41,PRIMARY,0.95
992,30,40,PRIMARY,0.8
1208,30,44,SECONDARY,0.5
1209,30,48,SECONDARY,0.6
